1,1,0.0000
2,1,0.0000
3,1,0.0000
4,1,0.0000
5,1,0.0000
6,1,0.0500
7,1,0.0000
8,1,0.1100
9,1,0.2800
10,1,0.1000
11,1,0.3800
12,2,0.0180
13,2,0.0000
14,2,0.0001
15,2,0.0000
16,2,0.0000
17,2,0.0000
18,2,0.0000
19,2,0.0000
20,2,0.0000
21,2,0.0176
22,2,0.0000
23,3,0.0000
24,3,0.0000
25,3,0.0000
26,3,0.0000
27,3,0.0000
28,3,0.0000
29,3,0.0000
30,3,0.0000
31,3,0.0000
32,3,0.0000
33,3,0.0000
34,4,0.0010
35,4,0.0010
36,4,0.0010
37,4,0.0010
38,4,0.0010
39,4,0.0010
40,4,0.0010
41,4,0.0010
42,4,0.0010
43,4,0.0010
44,4,0.0010
45,5,67999
46,5,198690
47,5,0
48,5,19946
49,5,1180138
50,5,12432575
51,5,75478066
